Program,TC1,LC1,BC1,Total1,Alive1,Killed1,Score1,TC2,LC2,BC2,Total2,Alive2,Killed2,Score2,mcdctime,mcctime,mode1mtime,mode2mtime, 
P2-L-T-R16-B2, 13, 11.51773, 14.242107, 1628, 1053, 575, 35%, 16, 11.51773, 14.242107, 1628, 1051, 577, 35%, 50.010201988, 298.074115696, 424.237976698, 426.221664918, 
P2-L-T-R16-B3, 20, 19.79773, 26.202107, 2908, 1734, 1174, 40%, 22, 19.79773, 26.202107, 2908, 1730, 1178, 40%, 337.662592985, 664.098743626, 612.192433957, 600.269586802, 
P3-L-T-R20-B2, 27, 16.28903, 16.511502, 905, 408, 497, 54%, 28, 16.28903, 16.511502, 905, 399, 506, 55%, 1.660731929, 130.835116469, 176.247423933, 169.893557447, 
P3-L-T-R20-B3, 44, 27.80903, 26.631502, 1512, 614, 898, 59%, 49, 27.80903, 26.631502, 1512, 636, 876, 57%, 3.996541379, 156.373577367, 302.017931152, 288.756341726, 
P7-L-T-R16-B2, 9, 19.28446, 25.381198, 1582, 950, 632, 39%, 11, 19.28446, 25.381198, 1582, 956, 626, 39%, 1.251148524, 95.329154280, 216.338514798, 227.939464393, 
P7-L-T-R16-B3, 14, 35.65446, 45.081198, 2671, 1484, 1187, 44%, 21, 35.65446, 45.081198, 2671, 1472, 1199, 44%, 21.174276031, 147.911436617, 365.342230361, 382.442084851, 
P8-L-T-R16-B2, 9, 11.57631, 15.301516, 1159, 712, 447, 38%, 11, 11.57631, 15.301516, 1159, 686, 473, 40%, .628318040, 78.104118371, 170.169756517, 162.824412711, 
P8-L-T-R16-B3, 15, 20.13631, 28.361516, 2202, 1356, 846, 38%, 17, 20.13631, 28.361516, 2202, 1352, 850, 38%, .867057184, 110.213761390, 282.680710229, 299.596743874, 
P10-L-T-R16-B2, 10, 14.34760, 19.471880, 1972, 1311, 661, 33%, 12, 14.34760, 19.471880, 1972, 1312, 660, 33%, 33.102750377, 229.893424857, 376.837282910, 390.308719355, 
P10-L-T-R16-B3, 22, 30.00760, 35.161880, 3454, 2007, 1447, 41%, 25, 30.00760, 35.161880, 3454, 2006, 1448, 41%, 105.003386194, 431.090298789, 620.220237629, 617.939278459, 
Prob1-IO-R14-B2, 43, 84.99693, 71.411679, 1996, 688, 1308, 65%, 49, 84.99693, 71.411679, 1996, 686, 1310, 65%, 791.817403567, 169.319414141, 295.349263918, 281.293773898, 
Prob1-IO-R14-B3, 50, 84.99693, 71.831679, 1996, 666, 1330, 66%, 54, 84.99693, 71.831679, 1996, 675, 1321, 66%, 792.802578789, 192.292917827, 307.532996047, 298.754931794, 
Wtest9-B2, 32, 46.03491, 58.182152, 1203, 816, 387, 32%, 0, 0.00491, 0.002152, 0, 0, 0, %, 19.358763787, 123.292234401, 162.077423427, 7.278752920, 
Wtest9-B3, 55, 59.67491, 65.712152, 1203, 637, 566, 47%, 0, 0.00491, 0.002152, 0, 0, 0, %, 20.845524002, 123.649322359, 213.384823634, 7.153103512, 
Wtest10-B2, 32, 45.45495, 64.011984, 1119, 676, 443, 39%, 0, 0.00495, 0.001984, 0, 0, 0, %, 6.068408068, 72.560152316, 157.019608327, 6.645701551, 
Wtest10-B3, 62, 53.33495, 78.931984, 1121, 552, 569, 50%, 0, 0.00495, 0.001984, 0, 0, 0, %, 7.190986607, 72.234050881, 209.265696005, 6.615967896, 
Wtest11-B2, 0, , , 0, 0, 0, %, 0, , , 0, 0, 0, %, .049257208, 73.182808811, 47.128544937, 47.461351487, 
Wtest11-B3, 0, , , 0, 0, 0, %, 0, , , 0, 0, 0, %, .049182359, 73.154781663, 47.662359624, 47.017270862, 
Wtest31-B2, 12, 5.74749, 8.32914, 260, 119, 141, 54%, 11, 5.74749, 8.32914, 260, 122, 138, 53%, .464222416, 94.416752419, 52.129535654, 51.982659770, 
Wtest31-B3, 13, 8.01749, 11.05914, 337, 184, 153, 45%, 13, 8.01749, 11.05914, 337, 170, 167, 49%, .625359124, 97.700770434, 63.941256370, 62.102810196, 
